_id,address,cid,city,fid,imageUrl,location/lat,location/lng,placeId,postalCode,street,title,nature,animal,architect,history,culture,hiking,park,museum,religion,amusement,senic,botanical,sport,saveCount
676b0d3449a89bca4c4a763e,"Domhof 3, 31134 Hildesheim, Germany",6164666500894942208,Hildesheim,0x47baafaf3afa593b:0x558d4b855097e3e7,https://lh5.googleusercontent.com/p/AF1QipMhBGs4yavnTXaeSKM6RWjzyNY__JNw58PKEkUd=w408-h543-k-no,52.1492613,9.9476819,ChIJO1n6Oq-vukcR5-OXUIVLjVU,31134,Domhof 3,Hildesheim Cathedral Museum,0,0,0,0,1,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a763f,"Mühlengraben 12, 31134 Hildesheim, Germany",3277570283927431680,Hildesheim,0x47baaf62d7e74203:0x2d7c44ced3dee90c,https://lh5.googleusercontent.com/p/AF1QipOGmhWYQIpBGsgTN1nAaNBTOBR2WBjhpZbN85JF=w408-h725-k-no,52.1427147,9.9486714,ChIJA0Ln12KvukcRDOne085EfC0,31134,Mühlengraben 12,Park Hildesheim,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a7640,"Domhof, 31134 Hildesheim, Germany",12187823381381006850,Hildesheim,0x47baafaf36be0f19:0xa923d8caa06a4602,https://lh5.googleusercontent.com/p/AF1QipMHiSvfPePGYCAukUtNFZfxSbUo8ou4zHqWliQp=w408-h306-k-no,52.1490222,9.9471512,ChIJGQ--Nq-vukcRAkZqoMrYI6k,31134,Domhof,St. Mary's Cathedral,0,0,1,1,0,0,0,0,1,0,1,0,0,
676b0d3449a89bca4c4a7641,"31134, Kahlenberger Graben, 31134 Hildesheim, Germany",12717252750711181748,Hildesheim,0x47baafa5802415c1:0xb07cc1ff74ffd1b4,https://lh5.googleusercontent.com/p/AF1QipOUoi8JCycn4-Csl1zWdfpT_LRFYKMyH2k30auw=w408-h306-k-no,52.1471332,9.9442608,ChIJwRUkgKWvukcRtNH_dP_BfLA,31134,"31134, Kahlenberger Graben",Kalenberger Graben,0,0,0,0,0,0,1,0,0,0,1,0,0,
676b0d3449a89bca4c4a7642,"Michaelispl. 2, 31134 Hildesheim, Germany",5161208869591677952,Hildesheim,0x47baafa7aea23b97:0x47a04c1f239b7a59,https://lh5.googleusercontent.com/p/AF1QipNfJdk0DGKpgcVldH6H1eHBiEkfx7hPcc3YWcIW=w408-h477-k-no,52.1529066,9.943139,ChIJlzuirqevukcRWXqbIx9MoEc,31134,Michaelispl. 2,St. Michael's Church,0,0,1,0,0,0,0,0,1,0,0,0,0,
676b0d3449a89bca4c4a7643,"31134 Hildesheim, Germany",9610204275001070270,Hildesheim,0x47baafa700442681:0x855e4ddefe6112be,https://lh5.googleusercontent.com/p/AF1QipPWHDxh9vUyBlyvqpQXUjKYvCE5P-uprmgD19qo=w408-h272-k-no,52.152376,9.9411718,ChIJgSZEAKevukcRvhJh_t5NXoU,31134,,Magdalenengarten,1,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a7644,"Weingärten 23, 31134 Hildesheim, Germany",15105350634724197234,Hildesheim,0x47baaf1fda92dd47:0xd1a0fc5ee6750372,https://lh5.googleusercontent.com/p/AF1QipPe9gYfT4tOsqM_669OmEMCh38HGiPM5x3tQeFR=w408-h725-k-no,52.1436444,9.9559025,ChIJR92S2h-vukcRcgN15l78oNE,31134,Weingärten 23,Hildesheim,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a7645,"Godehardspl. 3, 31134 Hildesheim, Germany",16083809337543152931,Hildesheim,0x47baa60f7e33c771:0xdf352b60775ed523,https://lh5.googleusercontent.com/p/AF1QipNJ_agsdGBpNY5ZNCpzeeXRt2_84-t6q7k0p13I=w408-h724-k-no,52.1453715,9.9497519,ChIJccczfg-mukcRI9Ved2ArNd8,31134,Godehardspl. 3,"St. Godehard, Hildesheim",0,0,1,0,0,0,0,0,1,0,0,0,0,
676b0d3449a89bca4c4a7646,"Michaelispl. 2, 31134 Hildesheim, Germany",10140914364027946898,Hildesheim,0x47baafa7ac264e65:0x8cbbc3e29d8ac792,https://lh5.googleusercontent.com/p/AF1QipMhbc1y_Q4g6LEuhVC2Pp4KziGKlkh8vO4k9KbU=w408-h544-k-no,52.152921,9.9443019,ChIJZU4mrKevukcRkseKneLDu4w,31134,Michaelispl. 2,Evang.-Luth. Pfarramt St. Michaelis,0,0,1,0,0,0,0,0,1,0,0,0,0,
676b0d3449a89bca4c4a7647,"37115 Duderstadt, Germany",6890048986510735360,Duderstadt,0x47a4d92d2691b659:0x5f9e5f0c5603391b,https://lh5.googleusercontent.com/p/AF1QipMVLjhtVjFDC6XfZGUvrc0KzfkdAD7NS6SzkEEZ=w408-h544-k-no,51.5232722,10.2447333,ChIJWbaRJi3ZpEcRGzkDVgxfnl8,37115,,Sulbergwarte,0,0,0,1,0,0,0,0,0,0,1,0,0,
676b0d3449a89bca4c4a7648,"27729, Germany",1653702911530924800,,0x47b136d9d4e6b913:0x16f322094dd47a86,https://lh5.googleusercontent.com/p/AF1QipOGBKmmkpLUbz34AII7grZsbJa0adoKk1wBBTzT=w408-h306-k-no,53.3341958,8.8507903,ChIJE7nm1Nk2sUcRhnrUTQki8xY,27729,,Heilsmoor,1,1,0,0,0,1,0,0,0,0,0,1,0,
676b0d3449a89bca4c4a7649,"Am Rötesumpf 5, 37412 Herzberg am Harz, Germany",9475760098181826464,Herzberg am Harz,0x47a5210161207ff5:0x8380a99ac4f2c7a0,https://lh5.googleusercontent.com/p/AF1QipOI28m5cLFGPByy4SW9xlIlEkNzhMdjRE2spInN=w426-h240-k-no,51.6129083,10.3295768,ChIJ9X8gYQEhpUcRoMfyxJqpgIM,37412,Am Rötesumpf 5,Eckerloch,1,0,0,0,0,0,0,0,0,0,0,0,1,
676b0d3449a89bca4c4a764a,Germany,12027142424757433848,,0x47b13fa179dd3365:0xa6e8fe5012b275f8,https://lh5.googleusercontent.com/p/AF1QipM3o9qsfHsSjPu6pqdUUjZGZc8A51ASBWp-2nCl=w408-h272-k-no,53.3625489,9.1050925,ChIJZTPdeaE_sUcR-HWyElD-6KY,,,Huvenhoopsmoor,1,0,0,0,0,0,0,0,0,0,0,0,0,
676b0d3449a89bca4c4a764b,"37412 Herzberg am Harz, Germany",5087311068668323840,Herzberg am Harz,0x47a52119b6d060a7:0x4699c27695e369de,https://lh5.googleusercontent.com/p/AF1QipNSBHQqKJ4ZS7FDPJYP4RiDcQZAYsUrox7SDLdk=w408-h306-k-no,51.6194409,10.3144385,ChIJp2DQthkhpUcR3mnjlXbCmUY,,,Oderaue Nature Reserve,0,1,0,0,0,0,0,0,0,0,0,1,0,
676b0d3449a89bca4c4a764c,"Marktpl. 25, 37412 Herzberg am Harz, Germany",14727159143828833161,Herzberg am Harz,0x47a523005e558489:0xcc616136a6904389,,51.6567451,10.3431751,ChIJiYRVXgAjpUcRiUOQpjZhYcw,37412,Marktpl. 25,Park,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a764d,"Marktstraße 97, 37115 Duderstadt, Germany",2506610334231185920,Duderstadt,0x47a4dec6b47d7b59:0x22c944d1822c4968,https://lh5.googleusercontent.com/p/AF1QipMUX3hGUl9pLDouMnESrhJf_cVoVZqsWzCPdffT=w408-h306-k-no,51.5129272,10.2631858,ChIJWXt9tMbepEcRaEksgtFEySI,37115,Marktstraße 97,Stadtpark,0,0,0,0,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a764e,"Schlußdorfer Str. 22, 27726 Worpswede, Germany",14736422914571880295,Worpswede,0x47b13b4895570e91:0xcc824a905afbc767,https://lh5.googleusercontent.com/p/AF1QipMgOSgv2R7pX6THJt0u52nVREQgttST4xRMHQie=w408-h305-k-no,53.2354369,8.9727243,ChIJkQ5XlUg7sUcRZ8f7WpBKgsw,27726,Schlußdorfer Str. 22,Torfschiffswerft-Museum,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a764f,"Dorfstraße 15, 27726 Worpswede, Germany",18169147479154544654,Worpswede,0x47b13b6dbd6b87e3:0xfc25c75e36b0d00e,https://lh5.googleusercontent.com/p/AF1QipPx5E-68vMn5artowUN5mTbvApFjKU7G9qV-A8S=w408-h306-k-no,53.2562911,8.9793174,ChIJ44drvW07sUcRDtCwNl7HJfw,27726,Dorfstraße 15,Landwirtschaftliches Museum Neu Sankt Jürgen,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a7650,"37412 Herzberg am Harz, Germany",10467574879421914252,Herzberg am Harz,0x47a521e630000001:0x91444be4abbedc8c,https://lh5.googleusercontent.com/p/AF1QipM4n3yI3xWk8QnwVmIJrSgVLGM2N6cgm4BxBfrD=w426-h240-k-no,51.6334107,10.3775548,ChIJAQAAMOYhpUcRjNy-q-RLRJE,37412,,Steinkirche,0,0,0,1,0,1,0,0,0,0,1,0,0,
676b0d3449a89bca4c4a7651,Germany,11117038116711713956,,0x47a502dac7c22251:0x9a47a7443d144ca4,https://lh5.googleusercontent.com/p/AF1QipMASDFKmkFzisr1xAwrMvQsSkL7dUC8akT34yWb=w408-h544-k-no,51.5757655,10.5673841,ChIJUSLCx9oCpUcRpEwUPUSnR5o,,,Gipskarstlandschaft Bad Sachsa und Walkenried,1,0,0,0,0,0,0,0,0,0,0,0,0,
